"","X.1","X","teamRslt","teamAST","teamTO","teamSTL","teamBLK","teamPF","teamFG.","teamFT.","teamTRB","opptAST","opptTO","opptSTL","opptBLK","opptPF","opptFG.","opptFT.","opptTRB"
"1",1,1,"Loss",26,13,11,10,19,0.3556,0.6,39,22,21,7,5,21,0.4557,0.6818,54
"2",2,2,"Win",22,21,7,5,21,0.4557,0.6818,54,26,13,11,10,19,0.3556,0.6,39
"3",3,3,"Loss",24,16,4,2,23,0.52,0.8214,41,25,8,8,5,20,0.5443,0.8125,36
"4",4,4,"Win",25,8,8,5,20,0.5443,0.8125,36,24,16,4,2,23,0.52,0.8214,41
"5",5,5,"Win",22,12,9,5,25,0.4706,0.7778,40,24,14,6,5,21,0.4935,0.3871,46
"6",6,6,"Loss",24,14,6,5,21,0.4935,0.3871,46,22,12,9,5,25,0.4706,0.7778,40
"7",7,7,"Loss",19,22,9,5,22,0.375,0.4545,54,18,16,13,11,14,0.3529,0.8095,47
"8",8,8,"Win",18,16,13,11,14,0.3529,0.8095,47,19,22,9,5,22,0.375,0.4545,54
"9",9,9,"Win",22,19,3,10,16,0.4744,0.6875,46,18,10,12,8,18,0.3626,0.8421,42
"10",10,10,"Loss",18,10,12,8,18,0.3626,0.8421,42,22,19,3,10,16,0.4744,0.6875,46
"11",11,11,"Win",28,20,12,3,24,0.4937,0.7391,45,21,16,12,4,15,0.443,0.7692,36
"12",12,12,"Loss",21,16,12,4,15,0.443,0.7692,36,28,20,12,3,24,0.4937,0.7391,45
"13",13,13,"Loss",14,21,10,5,29,0.4048,0.8125,40,21,18,8,10,19,0.4177,0.7576,46
"14",14,14,"Win",21,18,8,10,19,0.4177,0.7576,46,14,21,10,5,29,0.4048,0.8125,40
"15",15,15,"Win",22,16,9,8,21,0.475,0.6538,43,26,15,7,6,20,0.4375,0.913,43
"16",16,16,"Loss",26,15,7,6,20,0.4375,0.913,43,22,16,9,8,21,0.475,0.6538,43
"17",17,17,"Loss",20,16,8,5,32,0.3765,0.7308,40,24,14,10,8,25,0.427,0.7381,61
"18",18,18,"Win",24,14,10,8,25,0.427,0.7381,61,20,16,8,5,32,0.3765,0.7308,40
"19",19,19,"Win",19,18,9,3,20,0.3837,0.6957,49,16,18,10,12,23,0.4,0.7727,44
"20",20,20,"Loss",16,18,10,12,23,0.4,0.7727,44,19,18,9,3,20,0.3837,0.6957,49
"21",21,21,"Loss",24,21,14,4,25,0.3837,0.8,44,25,22,12,9,27,0.5135,0.6897,39
"22",22,22,"Win",25,22,12,9,27,0.5135,0.6897,39,24,21,14,4,25,0.3837,0.8,44
"23",23,23,"Loss",21,25,6,2,29,0.5,0.8125,45,19,12,10,5,20,0.506,0.8214,30
"24",24,24,"Win",19,12,10,5,20,0.506,0.8214,30,21,25,6,2,29,0.5,0.8125,45
"25",25,25,"Loss",18,18,6,5,20,0.3766,0.8261,48,27,13,9,4,21,0.443,0.6875,39
"26",26,26,"Win",27,13,9,4,21,0.443,0.6875,39,18,18,6,5,20,0.3766,0.8261,48
"27",27,27,"Loss",22,14,5,5,17,0.381,0.6667,45,24,13,8,8,24,0.4884,0.7222,46
"28",28,28,"Win",24,13,8,8,24,0.4884,0.7222,46,22,14,5,5,17,0.381,0.6667,45
"29",29,29,"Loss",19,19,5,5,16,0.3976,0.5926,52,18,11,10,9,23,0.3647,0.875,41
"30",30,30,"Win",18,11,10,9,23,0.3647,0.875,41,19,19,5,5,16,0.3976,0.5926,52
"31",31,31,"Win",26,19,12,5,17,0.4651,0.9167,46,22,18,9,4,18,0.4459,0.8095,36
"32",32,32,"Loss",22,18,9,4,18,0.4459,0.8095,36,26,19,12,5,17,0.4651,0.9167,46
"33",33,33,"Win",34,17,7,4,21,0.6377,0.7667,41,23,17,7,1,25,0.4051,0.5185,33
"34",34,34,"Loss",23,17,7,1,25,0.4051,0.5185,33,34,17,7,4,21,0.6377,0.7667,41
"35",35,35,"Win",22,21,8,2,18,0.4222,0.8621,58,23,13,12,4,26,0.4706,0.8824,36
"36",36,36,"Loss",23,13,12,4,26,0.4706,0.8824,36,22,21,8,2,18,0.4222,0.8621,58
"37",37,37,"Loss",18,21,4,5,18,0.4648,0.8462,41,27,14,10,0,22,0.4286,0.8667,41
"38",38,38,"Win",27,14,10,0,22,0.4286,0.8667,41,18,21,4,5,18,0.4648,0.8462,41
"39",39,39,"Loss",19,15,7,6,21,0.4118,0.5,44,23,12,7,4,16,0.4568,0.6429,42
"40",40,40,"Win",23,12,7,4,16,0.4568,0.6429,42,19,15,7,6,21,0.4118,0.5,44
"41",41,41,"Loss",17,12,7,4,34,0.3596,0.8125,43,17,11,4,10,17,0.3678,0.7222,53
"42",42,42,"Win",17,11,4,10,17,0.3678,0.7222,53,17,12,7,4,34,0.3596,0.8125,43
"43",43,43,"Loss",17,12,4,0,25,0.3596,0.7917,44,18,12,2,10,22,0.5132,0.7188,47
"44",44,44,"Win",18,12,2,10,22,0.5132,0.7188,47,17,12,4,0,25,0.3596,0.7917,44
"45",45,45,"Loss",20,10,2,5,19,0.4111,0.5789,39,15,14,6,5,20,0.4348,0.7143,52
"46",46,46,"Win",15,14,6,5,20,0.4348,0.7143,52,20,10,2,5,19,0.4111,0.5789,39
"47",47,47,"Win",24,12,12,4,26,0.4524,0.7778,37,15,20,7,7,23,0.5,0.7143,38
"48",48,48,"Loss",15,20,7,7,23,0.5,0.7143,38,24,12,12,4,26,0.4524,0.7778,37
"49",49,49,"Win",22,14,9,4,22,0.4545,0.8235,40,21,19,5,5,24,0.45,0.7059,36
"50",50,50,"Loss",21,19,5,5,24,0.45,0.7059,36,22,14,9,4,22,0.4545,0.8235,40
"51",51,51,"Win",24,9,8,4,12,0.4286,0.6923,35,20,15,7,4,14,0.4359,0.7059,46
"52",52,52,"Loss",20,15,7,4,14,0.4359,0.7059,46,24,9,8,4,12,0.4286,0.6923,35
"53",53,53,"Loss",19,16,15,13,26,0.3627,0.8,47,16,24,10,14,19,0.3939,0.8889,67
"54",54,54,"Win",16,24,10,14,19,0.3939,0.8889,67,19,16,15,13,26,0.3627,0.8,47
"55",55,55,"Loss",13,15,5,3,21,0.5158,0.65,47,26,8,9,8,16,0.5181,0.8519,32
"56",56,56,"Win",26,8,9,8,16,0.5181,0.8519,32,13,15,5,3,21,0.5158,0.65,47
"57",57,57,"Loss",23,14,8,5,31,0.4512,0.76,37,20,17,6,5,19,0.4568,0.7297,41
"58",58,58,"Win",20,17,6,5,19,0.4568,0.7297,41,23,14,8,5,31,0.4512,0.76,37
"59",59,59,"Win",13,17,7,9,21,0.4267,0.8696,44,21,12,11,6,20,0.3295,0.84,41
"60",60,60,"Loss",21,12,11,6,20,0.3295,0.84,41,13,17,7,9,21,0.4267,0.8696,44
"61",61,61,"Win",28,16,11,8,18,0.4194,0.5833,53,19,18,12,4,16,0.3542,0.6667,56
"62",62,62,"Loss",19,18,12,4,16,0.3542,0.6667,56,28,16,11,8,18,0.4194,0.5833,53
"63",63,63,"Loss",19,12,13,2,14,0.4286,0.75,38,31,22,6,7,23,0.6125,0.8,43
